Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALCINA MORAES SALLES PROFA,35045412,SP,Jacareí,Urbana,A escola não está em área de localização diferenciada,Pública,"TARIANA, 106 RUA. CHACARAS REUNIDAS IGARAPES. 12330-050 Jacareí - SP.",(12) 39561277,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.2970655,-46.035509
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA UMBELINA RODRIGUES DE AZEVEDO PROFA,35045421,SP,Jacareí,Urbana,A escola não está em área de localização diferenciada,Pública,"NILO MAXIMO, 4390 RODOVIA. JARDIM COLONIA. 12315-010 Jacareí - SP.",(12) 39527122,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.3248354,-45.9246672
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA HELENA DENIS FIGUEIREDO PROFA,35045433,SP,Jacareí,Urbana,A escola não está em área de localização diferenciada,Pública,"DARCY DE OLIVEIRA REIS, 530 AVENIDA. BELA VISTA. 12309-070 Jacareí - SP.",(12) 39517017,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.31136855,-45.99266847
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA APARECIDA RICO PROFA,35045445,SP,Jacareí,Urbana,A escola não está em área de localização diferenciada,Pública,"ANTONIO ALVES, 226 PAGADOR DE ANDRADE. 12334-450 Jacareí - SP.",(12) 39532564,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.2170306,-46.003162
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,WALDEMAR SALGADO PROF,35045457,SP,Santa Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"JOAO PESSOA, 12 RUA. CENTRO. 12380-000 Santa Branca - SP.",(12) 39720140,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.4003605,-45.8823083
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MIGUEL NAKED MAJOR,35045469,SP,São José dos Campos,Urbana,A escola não está em área de localização diferenciada,Pública,"BENEDITO BENTO, 195 AVENIDA. CIDADE MORUMBI. 12236-580 São José dos Campos - SP.",(12) 39312922,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-23.2502021,-45.9053261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARILDA FERREIRA DE BRITO BARROS PEREIRA,35045470,SP,São José dos Campos,Urbana,A escola não está em área de localização diferenciada,Pública,"MANOEL SALDANHA, 401 RUA. VALE DOS PINHEIROS. 12242-330 São José dos Campos - SP.",(12) 39222543,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.1979877,-45.9123357
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RUTH SA PROFESSORA,35045482,SP,Caçapava,Urbana,A escola não está em área de localização diferenciada,Pública,"AV MONSENHOR THEODOMIRO, 625 AVENIDA. PARQUE RESIDENCIAL MARIA ELMIRA. 12285-050 Caçapava - SP.",(12) 36534966,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.1177661,-45.7071211
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,FLAIR CARLOS DE OLIVEIRA ARMANY DOUTOR,35045494,SP,Caçapava,Urbana,A escola não está em área de localização diferenciada,Pública,"MUNICIPAL AMADEO TENEDINI, 279 ESTRADA. CACAPAVA VELHA. 12283-390 Caçapava - SP.",(12) 36531492,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.1172144,-45.6429288
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CLARICE COSTA CONTI PROFA,35045500,SP,Americana,Urbana,A escola não está em área de localização diferenciada,Pública,"MARIA CAVALCANTE PROENCA, 99 RUA. ANTONIO ZANAGA. 13474-530 Americana - SP.",(19) 34691204,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.7024173,-47.2997646
